Scene Number,Scene Name,Audio Length,Animation Length,Screenplay Formatted,Audio File Done,Character Marks Set,Scene Actions Generated,Camera Moves Complete,Testing Complete
0,Opening Trap,101,,X,X,X,X,X,X
1,Food Team Introduction,180,,,,,,,,
2,Marcus and Edgar Pre-Meeting,300,,,,,,,,
3,Team Meeting,220,,,,,,,,
4,Meeting Lea,363,,,,,,,,
5,Cube Trap Death,60,,X,X,X,X,X,X
6,Lab Introduction and First Test,510,,,,,,,,
7,The n=0.5 Explanation,381,,,,,,,,
8,The Lost Person Incident,417,,,,,,,,
9,Hypercube Singularity,503,,,,,,,,
10,First Entry and Deaths,574,,,,,,,,
11,Survival and Rationing,437,,,,,,,,
12,Exit and Josh Arrives,267,,,,,,,,
13,Into the Root Cube,376,,,,,,,,
14,Successful Trap Room Navigation,274,,,,,,,,
15,First Cube Room Death (Rashid),240,,,,,,,,
16,Darius Leaves,474,,,,,,,,
17,Sofia's Vacuum Death,243,,,,,,,,
18,Floor Dissolution Fight,349,,,,,,,,
19,Edgar's Magnetic Pulse Death,202,,,,,,,,
20,The Split,437,,,,,,,,
21,Darius's Group Navigation,344,,,,,,,,
22,Marcus's Communication Attempt,269,,,,,,,,
23,Lea and Josh's Scientific Discussion,648,,,,,,,,
24,Darius's Betrayal of Morris,502,,,,,,,,
25,Convergence at the Lab Building,372,,,,,,,,
26,The Final Demo,147,,,,,,,,